,0,1,2,3,4,5,6,7,8,name,dispointstrict,district,state,extraction_date
1008,"<img src=""grosplan/PA/PA_1009-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1009 [50 pts]</b>",Date de pose : 26/09/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;11&quot;);"">Paris - 11ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : octobre 2019 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1009/"" target=""_blank"">hashtag #PA_1009</a></font>","<div id=""image10""><a class=""chocolat-image"" href=""photos/PA/PA_1009-juillet2016.jpg"" title=""PA_1009-juillet2016""><img src=""images/PA/PA_1009-juillet2016.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1009,50,Paris - 11ème arrondissement,OK,2025-01-31
100,"<img src=""grosplan/PA/PA_0101-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_101 [10 pts]</b>",Date de pose : 04/10/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;20&quot;);"">Paris - 20ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : août 2023 (Instagram),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_101/"" target=""_blank"">hashtag #PA_101</a></font>","<img src=""images/PA/PA_0101-archive.jpg"" width=""300"">",&nbsp;,PA_101,10,Paris - 20ème arrondissement,OK,2025-01-31
1009,"<img src=""grosplan/PA/PA_1010-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1010 [30 pts]</b>",Date de pose : 02/10/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;19&quot;);"">Paris - 19ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : octobre 2019 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1010/"" target=""_blank"">hashtag #PA_1010</a></font>","<div id=""image11""><a class=""chocolat-image"" href=""photos/PA/PA_1010-avril2015.jpg"" title=""PA_1010-avril2015""><img src=""images/PA/PA_1010-avril2015.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1010,30,Paris - 19ème arrondissement,OK,2025-01-31
1010,"<img src=""grosplan/PA/PA_1011-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1011 [30 pts]</b>",Date de pose : 02/10/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;10&quot;);"">Paris - 10ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : mai 2022,"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1011/"" target=""_blank"">hashtag #PA_1011</a></font>","<div id=""image12""><a class=""chocolat-image"" href=""photos/PA/PA_1011-mai2022.jpg"" title=""PA_1011-mai2022""><img src=""images/PA/PA_1011-mai2022.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1011,30,Paris - 10ème arrondissement,OK,2025-01-31
1011,"<img src=""grosplan/PA/PA_1012-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1012 [50 pts]</b>",Date de pose : 02/10/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;09&quot;);"">Paris - 9ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : mars 2023 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1012/"" target=""_blank"">hashtag #PA_1012</a></font>","<div id=""image13""><a class=""chocolat-image"" href=""photos/PA/PA_1012-juillet2019.jpg"" title=""PA_1012-juillet2019""><img src=""images/PA/PA_1012-juillet2019.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1012,50,Paris - 9ème arrondissement,OK,2025-01-31
1012,"<img src=""grosplan/PA/PA_1013-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1013 [30 pts]</b>",Date de pose : 02/10/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;03&quot;);"">Paris - 3ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : juin 2021,"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1013/"" target=""_blank"">hashtag #PA_1013</a></font>","<div id=""image14""><a class=""chocolat-image"" href=""photos/PA/PA_1013-juin2021.jpg"" title=""PA_1013-juin2021""><img src=""images/PA/PA_1013-juin2021.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1013,30,Paris - 3ème arrondissement,OK,2025-01-31
1013,"<img src=""grosplan/PA/PA_1014-grosplan.png"" title=""LOAD RUNNER ..."" width=""100"">","<font class=""normal""><b>PA_1014 [30 pts]</b>",Date de pose : 02/10/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;11&quot;);"">Paris - 11ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : août 2022 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1014/"" target=""_blank"">hashtag #PA_1014</a></font>","<div id=""image15""><a class=""chocolat-image"" href=""photos/PA/PA_1014-aout2022.jpg"" title=""PA_1014-aout2022""><img src=""images/PA/PA_1014-aout2022.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1014,30,Paris - 11ème arrondissement,OK,2025-01-31
1014,"<img src=""grosplan/PA/PA_1015-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1015 [30 pts]</b>",Date de pose : 25/10/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;19&quot;);"">Paris - 19ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : octobre 2019 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1015/"" target=""_blank"">hashtag #PA_1015</a></font>","<div id=""image16""><a class=""chocolat-image"" href=""photos/PA/PA_1015-avril2015.jpg"" title=""PA_1015-avril2015""><img src=""images/PA/PA_1015-avril2015.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1015,30,Paris - 19ème arrondissement,OK,2025-01-31
1015,"<img src=""grosplan/PA/PA_1016-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1016 [30 pts]</b>",Date de pose : 25/10/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;19&quot;);"">Paris - 19ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : octobre 2019 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1016/"" target=""_blank"">hashtag #PA_1016</a></font>","<div id=""image17""><a class=""chocolat-image"" href=""photos/PA/PA_1016-avril2015.jpg"" title=""PA_1016-avril2015""><img src=""images/PA/PA_1016-avril2015.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1016,30,Paris - 19ème arrondissement,OK,2025-01-31
1016,"<img src=""grosplan/PA/PA_1017-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_1017 [50 pts]</b>",Date de pose : 25/10/2011,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;19&quot;);"">Paris - 19ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : novembre 2023 (Instagram),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_1017/"" target=""_blank"">hashtag #PA_1017</a></font>","<div id=""image18""><a class=""chocolat-image"" href=""photos/PA/PA_1017-avril2015.jpg"" title=""PA_1017-avril2015""><img src=""images/PA/PA_1017-avril2015.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_1017,50,Paris - 19ème arrondissement,OK,2025-01-31
