invader_name,Latitude,Longitude,number
PA_170,48.886143266666664,2.3413306666666664,170.0
PA_171,48.8855611,2.3432867666666666,171.0
PA_172,48.89119196666667,2.3317811666666666,172.0
PA_173,48.850390578451055,2.3756500822237268,173.0
PA_174,48.84156304533804,2.2823356004808555,174.0
PA_175,48.85158213333333,2.373533366666667,175.0
PA_176,48.84995946666667,2.3307637,176.0
PA_177,48.865390033333334,2.3308145000000002,177.0
PA_178,48.8747239,2.3059175,178.0
PA_179,48.82726473333333,2.5070708333333336,179.0
PA_180,48.85086135,2.3319194249999997,180.0
PA_181,48.85063843333333,2.3317826333333334,181.0
PA_182,48.850962,2.331918,182.0
PA_183,48.85035,2.331885,183.0
PA_184,48.852345066666665,2.3417470000000002,184.0
PA_185,48.872567866666664,2.331139466666667,185.0
PA_186,48.854616699999994,2.3366123,186.0
PA_187,48.84635696666667,2.3547231666666666,187.0
PA_188,48.857881066666664,2.3601756333333337,188.0
PA_189,48.86050886666666,2.3545309666666667,189.0
PA_190,48.86018686666667,2.4037399333333336,190.0
PA_191,48.86068153333334,2.4028791333333337,191.0
PA_192,48.860957066666664,2.4049335333333333,192.0
PA_193,48.8652997,2.3564877,193.0
PA_194,48.859997066666665,2.3774365,194.0
PA_195,48.900811366666666,2.3447332666666667,195.0
PA_196,48.883702099999994,2.3688949333333333,196.0
PA_197,48.88654616666667,2.3323806333333335,197.0
PA_198,48.874322799999995,2.3726186,198.0
PA_199,48.873416692803666,2.3706867904796938,199.0
PA_200,48.84446416666666,2.3724217000000003,200.0
PA_201,48.878017633333336,2.3768175666666664,201.0
PA_202,48.828447673288046,2.3883685579874174,202.0
PA_203,48.8438333,2.388196,203.0
PA_204,48.889875499999995,2.395985533333333,204.0
PA_205,48.87800116666667,2.3516578333333333,205.0
PA_206,48.883507,2.3274163333333333,206.0
PA_207,48.8877259,2.3325779,207.0
PA_208,48.83747533333334,2.3314509,208.0
PA_209,48.83336846666666,2.3792978,209.0
PA_210,48.88529903333333,2.3595595333333335,210.0
PA_211,48.852440566666665,2.3716578,211.0
PA_212,48.857048033333335,2.3930458,212.0
PA_213,48.84209956666666,2.3496796,213.0
PA_214,48.877883,2.4095786,214.0
PA_215,48.8426139,2.3861893666666667,215.0
PA_216,48.82156163333334,2.3424875666666667,216.0
PA_217,48.8516084,2.3525843,217.0
PA_218,48.844146,2.3718982,218.0
PA_219,48.81953646666667,2.3735973,219.0
PA_220,48.83742573333333,2.3735073333333334,220.0
PA_221,48.873799399999996,2.3829409666666663,221.0
PA_222,48.871104233333334,2.3744264999999998,222.0
PA_223,48.84783133333334,2.3757965666666667,223.0
PA_224,48.819814466666664,2.373476633333333,224.0
PA_225,48.81947436666667,2.3730828333333336,225.0
PA_226,48.876761833333326,2.3511910333333335,226.0
PA_227,48.874198299999996,2.3530493,227.0
PA_228,48.8899083,2.3829588000000004,228.0
PA_229,48.851036066666666,2.3396883333333336,229.0
PA_230,48.85582276666667,2.3543325,230.0
PA_231,48.864331033333336,2.3498611,231.0
PA_232,48.864545099999994,2.3476665666666667,232.0
PA_233,48.84445113333334,2.2763071333333333,233.0
PA_234,48.8588705,2.294261,234.0
PA_235,48.8634232,2.3641782,235.0
PA_236,48.87095706666667,2.2996400666666665,236.0
PA_237,48.873382166666666,2.2970594666666666,237.0
PA_238,48.866134566666666,2.3076813333333335,238.0
PA_239,48.8874914,2.3472085,239.0
PA_240,48.84575113333333,2.3738696666666663,240.0
PA_241,48.8409852,2.4008744333333336,241.0
PA_242,48.84448033333334,2.4068459,242.0
PA_243,48.846766366666664,2.3750832,243.0
PA_244,48.8582511,2.3798007,244.0
PA_245,48.864605633333326,2.3719807,245.0
PA_246,48.8679613,2.3628974,246.0
PA_247,48.833361266666664,2.2895314333333334,247.0
PA_248,48.86829903333334,2.3745135666666664,248.0
PA_249,48.85234186944454,2.3686419040151905,249.0
PA_250,48.868885733333336,2.3673819,250.0
PA_251,48.8606997,2.3480394666666666,251.0
PA_252,48.8721532,2.3770112,252.0
PA_253,48.86408583333333,2.3013751333333334,253.0
PA_254,48.871816700000004,2.3005983666666663,254.0
PA_255,48.86127283333334,2.291355166666667,255.0
PA_256,48.860585533333335,2.2913679333333334,256.0
